Shipper,Consignee,Shipments,Tons,BOL_Count
Totsa Totalenergies Trading Sa,ExxonMobil,11,187425.58000000002,11
3 R Portiguar S.A.,Raizen Trading,11,187239.0,11
"Lydford Mining Co., Ltd.",Vulcan Materials,7,187193.35,7
Toyota Motor Corporation,Toyota Canada,140,186465.05,140
Lafarge North America,Wirt Saginaw Stone Dock,18,186362.0,18
Viterra Inc.,Hansen Mueller,14,186000.0,14
Imerys Industrial Minerals Greece,Imerys Perlite Usa Inc.,21,184200.0,21
Reliance Industries,Valero,3,183483.44,3
Equinor Marketing & Trading,PBF Energy,6,183074.0,6
"Voestalpine Tubulars Gmb H & Co., Kg",Voest Alpine Tubular Corp.,559,182486.71,559
Abu Dhabi Co. For Onshore,Korea Gs E&P Sdpp,2,181856.0,2
Galtrade Ltd.,ExxonMobil,3,181418.40000000002,3
Dangote Petroleum Refinery And,Puerto Rico Energy,8,181166.0,8
Prayon S.A.,Prayon Inc.,35,180886.88999999998,35
Shoreline Natural Resources Ltd.,Monroe Energy,2,180866.0,2
Equinor Argentina Bv Suc,Marathon Petroleum,16,179788.0,16
Galaxy Oil Fz Llc,Gunvor Group,6,179506.0,6
Tengizchevroil,Valero,3,179303.0,3
Best Commodity Trade,Diamond Green Diesel Llc,17,178848.0,17
Equinor Asa,Global Companies Llc,12,178046.71,12
Blue Scope Steel (Ais) (Pty) Ltd.,Bluescope Steel Americas Llc,41,177755.69,41
Raizen Energia S A,Raizen Energia S A,14,177422.0,14
Yara Norge As,Yara North America,61,177203.18,61
Subarucorporation,Subaru Ofamerica Inc.,135,176516.86,135
Sonatrach Activite,Chevron,2,175990.0,2
Macquaerie Energy Canada Ltd.,Greenamerica,5,174813.03999999998,5
First Exploration And Petroluem,Monroe Energy,4,174402.28000000003,4
St. Mary's Cement Corp.,St. Mary's Cement Corp.,23,174377.49,23
Trafigura,Monroe Energy,4,174256.0,4
Novum Energy Trading Corp.,Novum Energy Trading Corp.,9,172731.56,9
Envalior Nv,Helm Fertilizer Corp,12,172500.23,12
Thyssenkrupp Steel Europe Ag,Thyssenkrupp Stainless Usa Llc,1559,171976.29,1559
"Nippon Steel Trading Co., Ltd.",Nippon Steel Trading Americas Inc.,54,170556.77,54
Toyota Motor Mfg. De,Toyota Motor Sales,98,170339.09,98
Petrogal Brasil S.A.,Marathon Petroleum,3,170299.37,3
Lafarge Bath Plant,Buffalo Lafarge Terminal,53,170120.0,53
M T Chem Cobalt,Circon Enviromental,4,170000.0,4
"Mitsui & Co., Ltd.",Northstar Chemical Inc.,37,169797.61000000002,37
Komatsu Ltd.,Komatsu America Corp.,4519,169103.79,4519
Stemcor London Ltd.,Stemcor London Ltd.,6,168934.0,6
Karoon Petroleo & Gas Ltda,Shell,3,168864.66999999998,3
Ionic Aspis,PMI Trading,2,168662.0,2
Voestalpine Stahl Service Center Gmb H.,Voestalpine Usa Corp.,483,168340.52,483
Atlantic Lng Co. Of Trinidad,Naturgy Aprovisionamientos Sa,4,167538.0,4
Pmi Commercio International S.A. De,PMI Trading,2,167284.0,2
Aker Bp Asa,Bp Oil International Ltd.,4,166656.0,4
Frontera Energy Colombia Corp.,Equinor Marketing & Trading,2,166586.0,2
2 Ho3 Lafarge Canada Inc. Richmond P,Lafarge North America,24,166539.75,24
"Sk Energy Co., Ltd.",Marathon Petroleum,6,166264.01,6
Karachaganak Petroleum Operating,Chevron,12,166082.0,12
North Coast Commodities Dmcc,Thomas Kowal Llc,9,165862.0,9
Shell Brasil Petroleo Ltda,Valero,3,165539.37,3
Sumitomo Corporation,Sulphuric Acid,8,164148.03999999998,8
ExxonMobil,Valero,2,164000.0,2
PMI Trading,Element Americas Inc.,6,162655.94,6
Bandegua S.A.,Del Monte Fresh Produce N A Inc.,525,161989.49,525
Heritage Petroleum,Deer Park Refining Ltd.,2,161896.72,2
Cenovus,Valero,4,161568.96000000002,4
Geogas Trading Sa,The Gas Co. Llc,94,161515.0,94
Valero,Citgo,9,161133.4,9
Heritage Petroleum,Socar Trading North America,2,160966.0,2
"Neste Singapore Pte., Ltd.",Neste Us Inc.,14,160824.06,14
Bapco Refining Bsc,Chevron,48,160151.74,48
Chevrn Argentina Srl,Chevron,5,159466.35,5
Shell Brasil Petroleo Ltda,Shell,3,159199.0,3
Scl Rotterdam,BP,8,158782.24,8
Gs Caltex Corporation,Idemitsu Apollo,4,158716.8,4
"Sk Energy Co., Ltd.","Sk Energy Co., Ltd.",8,158653.47999999998,8
Shell,Puerto Rico Energy,4,158074.88,4
Equinor Asa,Equinor Marketing & Trad Us Inc.,2,157807.32,2
"Hd Hyundai Oilbank Co., Ltd.",Idemitsu Apollo,6,157592.8,6
Lafarge North America,Verplank Dock Co.,7,157519.06,7
Eurochem Usolsky Potash Complex Usolsky Site Building 15,Eurochem North America Corp.,5,156901.0,5
Compania Espanola,Cepsa Trading Sau,9,156410.28,9
Sonatrach,Freepoint Commodities,4,156083.66,4
"Yamada Sangyo Co., Ltd.",Lafarge North America,6,155183.0,6
Pt . Dexin Steel Indonesia Gedung,Ternium,3,154965.4,3
"Paria Fuel Trading Co., Ltd.",Deer Park Refining Ltd.,2,154696.6,2
Medcem Global,Houston Cement Co. L.P.,3,153866.0,3
Nnpc Trading Sa,Valero,4,153730.0,4
Bp Oil International Ltd.,Ergon Oil Purchasing Inc.,2,153698.49,2
Oxbow Brasil Energia Industria E,Oxbow Calcining International Llc,13,153534.42,13
Posco Mexico S.A. De C.V.,Posco America Corp.,282,153154.61,282
Oeste,Chevron,2,153010.0,2
Hyundai Steel Co.,Hyundai Steel America Inc.,121,152701.51,121
Frontera Energy Comombia Corp.,Ing Bank N.V. Amsterdam,4,152472.0,4
Hartree Partners Lp,Hartree Partners Lp,2,152463.9,2
Luossavaara Kiirunavaara Ab,Nucor Steel,2,152260.0,2
Sasol Chemicals A Division Of Saso,Sasol Chemicals (Usa) Llc,247,152242.04,247
Bp Oil International Ltd.,Valero,5,152212.08000000002,5
Petropiar,Valero,2,151906.0,2
Imperial Oil Ltd.,Mieco Inc.,18,151629.82,18
Perenco Guatemala Ltd. Crd,Valero,2,151492.6,2
Sonmez Cimento Api Ve Madencilik,Houston Cement Co.,3,151478.0,3
"Emprada Mines And Minerals Pvt., Ltd.",Emprada Mines And Minerals Llc,6,151143.0,6
Garnet International Resources (Pty) ),Gma Garnet (Usa) Corp.,3,150700.0,3
Mexichem Fluor S.A. De C.V.,Honeywell International Inc.,10,150094.0,10
K And S Windsor Salt Ltd.,North American Salt Co.,5,150000.0,5
PMI Trading,Chalmette Refining Llc,5,149249.94,5
Glencore Energy Uk Ltd.,ExxonMobil,5,149043.0,5
Parkland Corp.,Valero,4,148445.94,4
Pt Ivo Mas Tunggal,Pt Ivo Mas Tunggal,107,148384.31,107
Azule Energy Angola Sp A .,Bp Oil International Ltd.,6,148235.8,6
Ontario Trap Rock,Chicago Port Railroad Co.,5,148061.0,5
Upm Pulp Sales Oy,Kuehne And Nagel Inc.,22,147778.55,22
Aramco Trading Co.,Aramco Americas,5,147708.56,5
Metsa Fibre Oy,Rukert Terminals Corp.,118,147662.9,118
Hyundai Mobis,Hyundai Auto Canada Corp.,161,147367.89,161
Eni Mexico S. De R.L. De C.V.,PBF Energy,6,146950.0,6
Eni Mexico S. De R.L. De C.V.,Marathon Petroleum,2,146648.87,2
Lafarge Ciment Msila Sp A,Holcim ( Us ) Inc.,4,146583.0,4
Totsa Totalenergies Trading Sa,Atlantic Trading & Marketing Inc.,6,146198.19999999998,6
Bandegua S.A.,Del Monte Fresh Produce N. A. Inc.,659,146178.62,659
Tronox Mineral Sands (Pty) ) Ltd.,Tronox Llc,9,145991.48,9
Frontera Energy Colombia Corp.,Shell,2,145873.96,2
ArcelorMittal,Macsteel International Usa Corp.,119,145374.5,119
Jcb Sales Ltd.,Jcb Inc. Sales,399,145300.7,399
Cnpc International Ltd. (Hk),Petrochina International,4,144668.0,4
Xiamen C And D Commodity Trading,Xiamen C And D Commodity Trading,30,144530.0,30
Mitsui Chemicals Inc.,Mitsubishi Gas Chemical America Inc.,12,144323.0,12
Anpg,Marathon Petroluem,1,143887.2,1
Totalenergies E&P Angola A C Anpg,Sonangol Ep,1,143743.01,1
Raizen Energia S A,Csc Sugar Llc,12,143393.46,12
P M I Comercio International S A,Chevron,2,143294.0,2
Global Prime Brasil Com. Exportador,Global Prime Wood Llc,266,142908.58,266
Hess International Sales Llc,Hess,2,141850.0,2
Lafarge Bath Plant,Lafarge North America,41,141325.76,41
Petrobras,Chevron,2,141148.26,2
Petrorio Luxembourg Holding Sari,Chevron,1,140949.28,1
The Government Of The Cooperative,Ing Bank N.V. Amsterdam,2,140564.0,2
Cnoc Petroleum Guyana Ltd.,ExxonMobil,1,140311.5,1
Petronas Petroleo Brasil Ltda,Petco Trading (Uk) Ltd.,2,140308.0,2
Neste Oil Oyj,Puerto Rico Energy,14,140247.28,14
Frontera Energy Colombia Corp.,Citgo,3,139962.7,3
Unipec America,China Offshore,2,139719.72,2
Shell Brasil Petroleo Ltda,Marathon Petroluem,3,139488.0,3
North Coast Commodities Ltd.,Eastern Salt Co. Inc.,3,139450.0,3
Suncor Energy,PBF Energy,3,139225.37,3
Outokumpu Chrome Oy,Outokumpu Stainless Usa Llc,19,139098.96,19
Noc,PAR Hawaii Refining,1,138978.4,1
Karachaganak Petroleum Operating,PBF Energy,10,138739.16999999998,10
Tupras Turkey Petroleum Refineries,Tupras Trading Uk,8,138699.0,8
Cnodc Brazil Petroleo E Gas Ltda,Marathon Petroleum,2,138223.0,2
Petroineos Trading Ltd.,Chevron,4,138193.16,4
Ata Timber Ab,Qp Timber Us Llc,20,137869.72,20
Salinor Salinas Do Nordeste S.A.,Intl Resources Llc,4,137690.0,4
ExxonMobil,Vitol,2,137686.0,2
Valero,Puerto Rico Energy,4,137478.0,4
Shell Brasil Petroleo Ltda,Chevron,2,137470.2,2
Tianjin Sunward Building Materials,Geo Wm Rueff Inc.,4,137399.0,4
Compass Minerals,Motor City Materials,8,136000.0,8
"Brb Singapore Pte., Ltd.",BP,13,135756.73,13
Methanol Holdings (Trinidad) Ltd.,Vale,22,135121.23,22
Ilim Nordic Timber,Boscus Canada Inc.,62,135098.83000000002,62
Mitsubishi Corporation,Mitsubishi Motors North America,630,134917.34,630
Pmi Commercio International S.A. De,Marathon Petroleum,2,134888.0,2
"Prosperity Tieh Enterprise Co., Ltd.",Prosperity Usa Corp.,562,134756.35,562
Aurubis Beerse,Holcim (Us) Inc.,3,134688.0,3
Kia Motors Mexico S.A. De C.V.,Kia Motors America Inc.,124,134637.47,124
ArcelorMittal,Jsw Steel Usa,6,134417.46,6
Ontario Trap Rock A Division Of,Chicago Port Railroad,11,134354.04,11
State Oil Marketing Company (SOMO),China Offshore Oil (Singapore),1,134335.01,1
State Oil Marketing Company (SOMO),Litasco Middle East,1,134307.01,1
Oq Trading Ltd.,Global Companies Llc,8,134078.72,8
Gs Caltex Corporation,Banque De Commerce Et De Placements,4,133988.0,4
Oq Trading Ltd.,Valero,4,133821.09,4
Mazda Motor Corporation,Mazda Canada,152,133812.25,152
Sonatrach,PAR Hawaii Refining,1,133543.98,1
Natixis Paris,Chevron,2,133503.12,2
Abu Dhabi National Oil Company,Credit Agricole Cib Singapore,4,133208.0,4
Lafarge Na Meldrum Bay,Emirates Aluminium (EGA),7,133000.0,7
Equinor Marketing & Trad Us Inc.,Equinor Marketing & Trad Us Inc.,3,132951.03,3
Akcansa Cimento San. Tic. A.S.,Heidelberg Materials Us Cement Llc,7,132530.0,7
Wilmar Trading (Australia) (Pty) ) Ltd.,Reg Marketing & Logistics Llc,17,132393.88,17
Newcross Exploration,Shell,2,132341.0,2
Lafarge North America,Wirt Stone Dock,18,132200.0,18
Granite Infrastructure Canada,Centennial Rock Products,21,131600.0,21
Newcross Exploration And Production,Monroe Energy,2,131108.4,2
Nnpc Trading Sa,Monroe Energy,2,131100.0,2
Graincorp Commodity Management (Pty) ),Diamond Green Diesel Llc,16,130795.92000000001,16
Imerys Rio Capim Caulim S.A,Americarb Inc.,12,130610.0,12
Sunoco Llc,Sunoco Llc,8,130496.12,8
Nnpc Suppliers To Socar,Marathon Petroluem,1,130428.0,1
Comilog,Eramet Marietta Inc.,9,130335.0,9
Totsaenergies Ep Nigeria Ltd.,PAR Hawaii Refining,2,130266.0,2
Medcem Global,American Cement Advisors,3,130216.67,3
Goltas Goller Bolgesi Cimento,Sultan Cement Llc,7,129201.64,7
Energy Eg Co.,Mid American Salt Llc,7,129060.0,7
Jfe Shoji Trade Corp.,Hm Southeast Cement Llc,3,129046.0,3
Telf Ag,Mid Ship Logistics,224,128958.3,224
Cepsa,Cepsa,8,128499.0,8
Pt Intibenua Perkasatama,Pt Intibenua,95,128400.0,95
Nnpc Suppliers To Bono Energy,Cepsa Trading Sau,4,128289.0,4
Repsol Sinopec Brasil Sa,Marathon Petroleum,1,127715.0,1
Royal El Minya Cement Co.,Sesco Cement Corp.,26,127577.64,26
Petrobras,Bp North America,2,127260.0,2
Suncor Energy,Delta Western Inc.,9,126943.90000000001,9
"Yongan Qisheng Minerals Co., Ltd.",Halliburton Energy Services,4,126720.0,4
Gunvor Group,Best Petroleum Corp.,7,126651.0,7
Nigerian National Petroleum Corp.,Monroe Energy,2,126261.0,2
Equinor Asa,Chevron,3,125895.0,3
Nayara Energy Ltd. Refinery Division,Vitol,2,125826.0,2
Kuwait Petroleum Corp.,Ubs Switzerland Ag,2,125675.0,2
Posco,Posco International America Corp.,38,125253.53,38
Jfe Shoji Trade Corp.,Argos Usa,3,124850.0,3
Kenmare Moma Processing (Mauritius),The Chemours Co.,4,124465.06,4
Nnpc Suppliers To Oando Plc,Monroe Energy,2,124442.0,2
Jsc Azot,Eurochem North America Corp.,8,124392.25,8
Fibrant Bv,Archer Daniels Midland Co.,7,124249.14,7
Rio Tinto Alcan Inc.,C.Steinweg (Handelsveem Bv),12,123929.1,12
Tupras Turkey Petroleum Refineries,Gunvor Usa,6,123915.07,6
Shinsho Corporation,Shima American Corp,1183,123674.09,1183
Equinor Asa,Equinor Marketing & Trading,2,123517.0,2
Tullow Ghana Ltd.,Sumitomo Mitsui Banking Corp.,2,123061.0,2
Exportadora De Sal S.A. De C.V.,Westlake Us 2 Llc,7,122599.04000000001,7
Petroineos Trading Ltd.,Monroe Energy,3,122426.0,3
Neste Oil Oyj,Puma Energy Caribe Llc,8,122355.52,8
Bb Energy Gulf Dmcc,Ca Indosuez (Switzerland) Sa,4,121828.36,4
Galaxy Oil Fz Llc,Marathon Petroleum,6,121161.24,6
Nnpc Suppliers To Socar,Monroe Energy,3,120289.0,3
Mercedes Benz Sa Ltd.,Mercedes Benz Usa Llc,78,120180.08,78
3 R Potiguar Sa,Raizen Trad Sa,2,120068.9,2
3 R Potiguar Sa,Raizen Trading,2,120068.32,2
Vista Energy Argentina Sau,Marathon Petroleum,2,119710.23999999999,2
Akcansa Cimento Sanayi T.A.S.,Heidelberg Marterials Us Cement Llc,11,119651.5,11
Totalenergies E&P Nigeria Ltd.,Totsa Totalenergies Trading Sa,2,119373.0,2
Cleopatra Industries For Building,Sesco Cement Corp.,26,119012.12,26
"Aramco Trading Singapore Pte., Ltd.",Idemitsu Apollo,3,118445.64,3
Jordan Phosphate Mines Co. Plc,Fertistream Dmcc,4,118260.0,4
Atlantic Copper S.L.U.,Sulphuric Acid,8,118034.76000000001,8
Seah Steel Vina Corp.,Pusan Pipe America Inc.,168,117785.39,168
Shell International Trading Middle,Nfe North Trading Llc,6,117773.38,6
Setra Travaror Ab,Kp Wood Ltd.,20,117589.08,20
Richmond Steel Recycling Ltd.,Nucor Steel,24,117534.0,24
Royal Caribbean Cruise,Royal Caribbean Cruise,12310,117400.34,12310
Lkab Minerals Ab,Lkab Minerals Inc.,10,117048.0,10
Aluar Aluminio Argentino S.A.I.C.,Aluar Aluminio Argentino Saic,142,116574.7,142
Gimpex Ltd.,Gimpex Ltd.,4,116410.0,4
Capex Sa,BP,3,116339.88,3
Siemens Gamesa Renewable Energy A S,Siemens Gamesa Renewable Energy Inc.,4,116254.14,4
Emirates Aluminium (EGA),Naturgy Aprovisionamientos Sa,2,116058.0,2
Silcotub S.A.,Tenaris Global Services Usa,45,115930.87,45
Boliden Mineral Ab Jarnagsleden,Martin Operating Partnership,6,115860.0,6
Geogas Trading Sa,Coastal Pedroleum Dominicana,14,115562.0,14
Constructora Meco,Gea International Usa Llc,3,115372.45000000001,3
Usinas Siderurgicas De Minas Gerais,Ternium,164,115180.04,164
Reliance Industries,Reliance Industries,2,115122.0,2
Aramco Trading Fujairah,Aramco Americas,9,114751.27,9
Eti Maden Isletmeleri Genel Mudurlugu,Etimine Usa Inc.,21,114724.06,21
Sinopec Qingdao Refining And,North American Fuel Corp.,3,114028.97,3
Dead Sea Works Ltd.,Oakley Fertilizer Inc.,16,113607.82,16
El Nasr Co. For Intermediate,Ubs Switzerland Ag,8,113500.0,8
"Long Son Industrials Co., Ltd.",Cemex,7,112840.0,7
"Tianjin Honor Green Energy Co., Ltd.",Vitol,39,112816.86,39
Vissai Ninh Binh Joint Stock Plot C7 Gian Khau Industries Zone Gia Vien District,Two Rivers Cement,4,112160.0,4
"Hanwha Total Petrochemical Co., Ltd.",Mieco Inc.,5,112061.47,5
Ontario Trap Rock,Verplank's Trucking,4,111956.0,4
Alunorte Alumina Do Norte Do,Usalco Baltimore Plant Llc,12,111931.57,12
Repsol Petroleo,Repsol Petroleo,4,111886.0,4
Suncor Energy,BP,3,111782.0,3
Totsa Total Oil Trading S.A.,Vitol,4,111682.0,4
Cia Espanola De Petroleos Sa,Sol Petroleum Usvi Ltd.,3,111323.97,3
Tecnimont Sp A,Oci Clean Ammonia Llc,16,111287.6,16
Transporte La Fama Sa,United States Gypsum Co.,3,111082.0,3
Reliance Industries,BP,7,111071.14,7
Ontario Trap Rock,Emirates Aluminium (EGA),10,111000.0,10
Shell Internatinal Trading Middle,Naturgy Aprovisionamientos Sa,2,110845.8,2
Aramco Americas,Motiva Enterprises,6,110837.34,6
Corporacion Nacional Del Cobre De Chile,Southwire Co.,251,110740.94,251
Vs Petroleum Dmcc,Valero,2,110242.9,2
Steel International Trading Co.,Godfrey Alloys Llc,36,110160.02,36
Sociedad Punta de Lobos,Lti Inc.,2,110100.0,2
Tianjin Sunward Building Materials,Tianjin Sunward Building,2,110000.0,2
Metsa Fibre Oy,Seaonus Stevedoring,61,109923.74,61
Sohar International Urea & Chemical,Keytrade North America,2,109701.0,2
Transporte La Fama Sa,Cemex,3,109460.0,3
"Hanwha Total Petrochemical Co., Ltd.",Idemitsu Apollo,5,109440.0,5
"Petrochina International Co., Ltd.",Chevron,1,109363.78,1
Gs Global Corp.,Gs Global Usa Inc.,99,109272.63,99
China Aviation Oil (Singapore) Corp.,North American Fuel Corp.,6,108911.94,6
Tubos De Acero De Mexico S.A.,Tenaris Global Services Usa,1228,108361.63,1228
Ontario Trap Rock A Division Of,Emirates Aluminium (EGA),16,108305.16,16
Totsa Totalenergies Trading Sa,Sunoco Llc,13,108167.78,13
Sonatrach,Sonatrach,2,108102.62,2
Adm Agri Industries Co.,Adm Toledo,4,108000.0,4
Qatar Shell Gtl Ltd.,Bwc Terminals Llc,11,107824.45999999999,11
Transporte La Fama Sa,States Gypsum Co.,3,107260.01000000001,3
Aramco Trading Ltd.,Bp North America Petroleum,5,107259.0,5
Shell International,Naturgy Aprovisionamientos Sa,2,107217.26,2
Woodside Energy Ltd.B.V.,Chevron,2,107084.09,2
Qit Madagascar Minerals Sa,The Chemours Co.,5,107011.18000000001,5
Campa Iberia,Green America Biofuels Llc,14,106895.99,14
Pmi Commercio International S.A. De,Hunt Crude Oil Supply Co.,2,106520.0,2
Cliffs,Cleveland Cliffs Indiana Harbor,4,106190.0,4
Globe Coco Products Mfg.,Globe Coco Products Mfg.,12,106005.14,12
Lafarge Na Meldrum Bay,Meekhoffs Lakeside Dock,5,106000.0,5
"Petrochina International Co., Ltd.",Marathon Petroleum,1,105902.2,1
Pt . Dexin Steel Indonesia,Sathi Llc,2,105735.0,2
Petro Rio Jaguar Petroleo Ltda,Petrorio Luxembourg Holding Sari,2,105668.6,2
"Petrochina Co., Ltd. Tepetrochina Americas",Marathon Petroleum,1,105381.55,1
"Hyundai Oilbank Co., Ltd.",BP,6,105149.83,6
Kuwait Petroleum Corp.,Parkland Us Supply Corp.,2,105136.0,2
Lafarge North America,Osborne Concrete And Stone,8,105024.78,8
Equinor Canada Ltd.,Equinor Marketing & Trading,2,104999.62,2
Duferco Sa,Ing Bank N.V. Amsterdam Geneva Br Switzerland,2,104800.0,2
Xiamen C And D Commodity Trading,Diamond Green Diesel Llc,28,104684.36,28
State Oil Marketing Company (SOMO),Bp Oil International Ltd.,1,104559.0,1
Duferco Sa,Societe Generale Paris Zurich,2,104500.0,2
BP,Unipec America,2,104448.0,2
Vallourec Deutschland Gmb H,Vallourec Deutschland Gmb H,4,104307.14,4
"Petrochina International Co., Ltd.",Citgo,1,104304.06,1
Adnoc Onshore (Totalenergies),"Total Energies Trading Asia Pte., Ltd.",4,104264.0,4
Broychim Sarl,Halliburton Energy Services,4,103951.0,4
Oando Oil Ltd.,Monroe Energy,2,103944.0,2
El Sharika El Djazairia El Omania,Koch Fertilizer Llc,5,103885.0,5
Shell,Marathon Petroluem,3,103832.56,3
Parkland Refining (B.C.) Ltd.,Htp Energy,22,103657.22,22
Atlas Meth Co Un Ltd. Boo Meth Trin M,Methanex Trinidad Unlimited,26,103186.12,26
Pt Sari Dumai Sejati,Pt Sari Dumai Sejati,52,103159.29000000001,52
Duferco Sa,Societe General Paris,2,103142.0,2
PMI Trading,Hartree Partners Lp,2,103096.0,2
Geogas Trading Sa,Tropigas De Puerto Rico Inc.,20,103012.0,20
Cty Tnhh Cong Nghiep Long Son,Houston Cement Co.,2,102800.0,2
Uam Logistics &Trading Llc,Unipec America,2,102630.0,2
Ril,BP,8,102582.0,8
Diamond Green Diesel Llc,Diamond Green Diesel Llc,30,102551.7,30
Bracell Sp Celulose Ltda,Sc Marketing Us Inc.,40,102536.0,40
Vitol,Freepoint Commodities,8,102090.22,8
Lafarge Canada Smelter Bay Quarry,Lafarge Na Lorain,5,102000.0,5
Volkswagen De Mexico S.A. De C.V.,Volkswagen Ag,111,101968.01,111
Bp Trinidad And Tobago,Equinor Marketing & Trading,3,101678.44,3
Suncor Energy,All States Asphalt Llc,23,101611.17,23
Dead Sea Works Ltd.,Macrosource Llc,13,101551.31,13
Woodside Energy Trinidad C2 Ltd.,Chevron,2,101506.88,2
Suncor Energy,Ajax Materials Corp.,29,101359.62,29
"Long Son Industrials Co., Ltd.",Houston Cement Co.,2,101352.0,2
Incitec Pivot Fertilisers,Chs Inc.,3,101148.0,3
Akcansa Cimento San Tic As,Houston Cement Co.,2,101090.0,2
Star Rafineri As,Socar Trading Sa,2,101000.0,2
Kazakstan Pipeline Ventures Llc,Eni Trade And Biofuels Sp A,2,100850.0,2
Stemcor London Ltd.,Steel Dynamics Southwest Llc,2,100482.0,2
Galtrade Ltd.,Galtrade Ltd.,6,100372.76,6
Anshan Zizhu International Trading,Harmer Steel Ltd. Attn Summer,2,100359.0,2
Martell & Co.,Pernod Ricard Usa,8,100164.67,8
Petrocoque Sa Industria E Comercio,BP,4,100137.45999999999,4
"Green Esteel Enterprise Pte., Ltd.",Steel Dynamics Columbus Llc,2,100080.0,2
Inter Ontario Equipment Rental,Emirates Aluminium (EGA),9,99900.0,9
Liga Agricola Industries De La Cana,Csc Sugar Llc,6,99756.0,6
3 R Portiguar Sa,Raizen Trading S.A.,2,99690.0,2
Vitol,Global Companies Llc,8,99589.16,8
"Hd Hyundai Oilbank Co., Ltd.",Aloha Petroleum Ltd.,17,99575.62,17
Vissai Ninh Binh Jsc,Riverside Construction Materials,2,99510.0,2
Pt Sinar Mas Agro Resources An,Pt Sinar Mas Agro,105,99480.58,105
Sonmez Cemento Yapi Ve,Riverside Construction Materials,2,99470.0,2
Exportadora De Sal S.A. De C.V. Mor,Eastern Salt Co. Inc.,2,99100.0,2
Kofert,Koch Fertilizer Llc,5,99014.19,5
Dalmine S.P.A.,Tenaris Global Services Usa,271,98827.11,271
Exportadora De Sal S.A. De C.V.,Grajoca Llc,2,98600.0,2
"Insun Sg Pte., Ltd.",Sathi Llc,2,98522.0,2
Societe Nationale Pour La Recherche,Monroe Energy,2,98344.0,2
Grey Rock Gathering And,Marathon Petroleum,2,98070.12,2
Eew Special Pipe Constructions Gmb H,Virginia Electric Power Co.,13,98059.39,13
Tengizchevroil,Delaware City Refining,4,98010.2,4
Vitol,Maersk Oil Trading Inc.,4,97957.45999999999,4
Trafigura,Ca Indosuez (Switzerland) Sa,2,97894.0,2
Chevron,Citgo,2,97880.0,2
